Model,Scenario,Variable,Unit,Region,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SA90,Scenario A,Emissions|CO2,Gt C/yr,World,6,,,7.7,,,,,11.5,,,,,15.2,,,,,18.7,,,,,22.4
SA90,Scenario B,Emissions|CO2,Gt C/yr,World,5.9,,,5.5,,,,,6.4,,,,,7.5,,,,,8.8,,,,,10.3
SA90,Scenario C,Emissions|CO2,Gt C/yr,World,6,,,5.6,,,,,6.3,,,,,7.1,,,,,5.1,,,,,3.5
SA90,Scenario D,Emissions|CO2,Gt C/yr,World,6,,,5.6,,,,,5.1,,,,,2.9,,,,,3,,,,,2.7
SA90,Scenario E,Emissions|CO2,Gt C/yr,World,6,,,4.6,,,,,3.8,,,,,3.7,,,,,3.5,,,,,2.6
IS92,IS92a,Emissions|CO2,Gt C/yr,World,6.52,7.4,7.93,8.44,9.16,9.89,10.64,11.38,12.23,,,,,14.52,,,,,16.31,,,,,20.28
IS92,IS92b,Emissions|CO2,Gt C/yr,World,6.5163018,7.404975244,7.931192177,8.236423602,8.821526029,9.44847831,10.19311635,10.94731667,11.81165449,,,,,13.80117018,,,,,15.40876942,,,,,19.1095891
IS92,IS92c,Emissions|CO2,Gt C/yr,World,6.52,7.41,7.23,7.46,7.75,8.05,8.31,8.49,8.79,,,,,7.51,,,,,5.58,,,,,4.61
IS92,IS92d,Emissions|CO2,Gt C/yr,World,6.49,7.33,7.27,7.49,7.81,8.17,8.54,8.78,9.29,,,,,9.02,,,,,9.27,,,,,10.33
IS92,IS92e,Emissions|CO2,Gt C/yr,World,6.52,7.4,8.16,9.1,10.17,11.4,12.63,13.74,15.08,,,,,20.1,,,,,26.96,,,,,35.84
IS92,IS92f,Emissions|CO2,Gt C/yr,World,6.52,7.41,7.97,8.77,9.7,10.77,11.95,13.13,14.37,,,,,17.25,,,,,21.19,,,,,26.59
SRES,A1B,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,10.88,,12.64,,14.48,,15.35,,16.38,,16,,15.73,,15.18,,14.3,,13.49
SRES,A1FI,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,9.73,,12.73,,16.19,,19.97,,23.9,,25.69,,27.28,,28.68,,28.42,,28.24
SRES,A1T,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,9.38,,10.26,,12.38,,12.65,,12.26,,11.38,,9.87,,8.02,,6.26,,4.32
SRES,A2,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,9.58,,12.25,,14.72,,16.07,,17.43,,19.16,,20.89,,23.22,,26.15,,29.09
SRES,B1,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,9.28,,10.63,,11.11,,11.72,,11.29,,9.74,,8.18,,6.7,,5.32,,4.23
SRES,B2,Emissions|CO2,Gt C/yr,World,,7.1,,7.97,,8.78,,9.05,,9.9,,10.69,,11.01,,11.49,,11.62,,12.15,,12.79,,13.32
RCP,RCP6.0,Emissions|CO2,Gt C/yr,World,,,,7.884,9.166,9.389,,9.357,,9.438,,10.84,,12.58,,14.566,,16.477,,17.525,,14.556,,13.935
RCP,RCP4.5,Emissions|CO2,Gt C/yr,World,,,,7.884,9.166,9.518,,10.212,,11.17,,11.537,,11.28,,9.585,,7.222,,4.19,,4.22,,4.249
RCP,RCP2.6,Emissions|CO2,Gt C/yr,World,,,,7.884,9.166,9.878,,10.26,,7.946,,5.024,,3.387,,2.034,,0.654,,0.117,,-0.268,,-0.42
RCP,RCP8.5,Emissions|CO2,Gt C/yr,World,,,,7.884,9.166,9.969,,12.444,,14.554,,17.432,,20.781,,24.097,,26.374,,27.715,,28.531,,28.817
SSP,SSP1-1.9,Emissions|CO2,Gt C/yr,World,,,,,,,10.68578766,10.8334405,,6.235608897,,2.85892167,,0.559596616,,-0.416478712,,-1.221880459,,-1.994755186,,-2.883466976,,-3.790881004
SSP,SSP1-2.6,Emissions|CO2,Gt C/yr,World,,,,,,,10.68578766,10.86354067,,9.479919214,,7.235039028,,4.902712609,,2.873356714,,1.22170524,,-0.896572871,,-2.288532478,,-2.35201583
SSP,SSP2-4.5,Emissions|CO2,Gt C/yr,World,,,,,,,10.68470469,11.09375819,,11.86573772,,12.07775655,,11.86195142,,10.97065639,,9.616657751,,7.324883461,,4.455347162,,2.642701692
SSP,SSP3-7.0,Emissions|CO2,Gt C/yr,World,,,,,,,10.68470469,12.22926801,,14.42340584,,15.96560317,,17.16813837,,18.16822271,,19.11626064,,20.0341774,,21.2333649,,22.57801119
SSP,SSP5-8.5,Emissions|CO2,Gt C/yr,World,,,,,,,10.68578766,11.93022626,,15.09186217,,18.77065993,,22.73423035,,27.38499072,,31.87916184,,35.3840161,,35.63761981,,34.46706059
